product_id,name,Price,image_path,text_description
cb2-1001,Foley Mink Velvet Dining Armchair,$399.00,https://cb2.scene7.com/is/image/CB2/FoleyVlvtMinkDnngChairSHS24/$web_plp_card$/240215085308/foley-mink-velvet-dining-armchair.jpg,https://www.cb2.com/foley-mink-velvet-dining-armchair/s370057
cb2-1002,"Amalie 103"" Rectangular White Resin Dining Table","$2,999.00",https://cb2.scene7.com/is/image/CB2/AmalieRctWtCnrtDgTb100inSHF24/$web_plp_card$/240922084338/AmalieRctWtCnrtDgTb100inSHF24.jpg,https://www.cb2.com/amalie-103-rectangular-white-resin-dining-table/s660056
cb2-1003,Norrie Olive Green Velvet Dining Armchair,$599.00,https://cb2.scene7.com/is/image/CB2/NorrieOlvGrnVlvtDnArmchrSHF24/$web_plp_card$/240922084338/NorrieOlvGrnVlvtDnArmchrSHF24.jpg,https://www.cb2.com/norrie-olive-green-velvet-dining-armchair/s114085
cb2-1004,"Babylon 30"" Round Torrento Grey Marble Bistro Table","$1,699.00",https://cb2.scene7.com/is/image/CB2/BabylonRoundTableSmallSHS24/$web_plp_card$/240215085308/babylon-torrento-grey-marble-bistro-table.jpg,https://www.cb2.com/babylon-30-round-torrento-grey-marble-bistro-table/s584087
cb2-1005,Inesse Boucle Ivory Dining Chair,$379.00,https://cb2.scene7.com/is/image/CB2/InesseIvoryDiningChairSHF23/$web_plp_card$/240215085223/inesse-boucle-ivory-dining-chair.jpg,https://www.cb2.com/inesse-boucle-ivory-dining-chair/s250604
cb2-1006,"Providence 90"" Rectangular Cerused Oak Wood Dining Table","$1,499.00",https://cb2.scene7.com/is/image/CB2/ProvidenceCrsdOkDngTableSHF23/$web_plp_card$/240215085223/providence-90-rectangular-cerused-oak-dining-table.jpg,https://www.cb2.com/providence-90-rectangular-cerused-oak-wood-dining-table/s231284
cb2-1007,Azalea Black and White Boucle Dining Chair,Sale $339.15,https://cb2.scene7.com/is/image/CB2/AzaleaBoucleChairSHF23/$web_plp_card$/240215085223/azalea-boucle-chair.jpg,https://www.cb2.com/azalea-black-and-white-boucle-dining-chair/s388813
cb2-1008,"Angeli 48"" Round Marble and Cast Aluminum Dining Table","$2,999.00",https://cb2.scene7.com/is/image/CB2/AngeliRdMrbNCtAlnmDngTblSHF24/$web_plp_card$/240922084338/AngeliRdMrbNCtAlnmDngTblSHF24.jpg,https://www.cb2.com/angeli-48-round-marble-and-cast-aluminum-dining-table/s156618
cb2-1009,Lisette Charcoal Performance Fabric Dining Armchair,$499.00,https://cb2.scene7.com/is/image/CB2/LisetteChrclDiningChairSHS24/$web_plp_card$/240215085253/lisette-charcoal-upholstered-dining-armchair.jpg,https://www.cb2.com/lisette-charcoal-performance-fabric-dining-armchair/s660751
cb2-1010,"Kishi 95"" Rectangular White Marble Dining Table","$2,999.00",https://cb2.scene7.com/is/image/CB2/KishiRectWtMrbDngTbl95inSHS24/$web_plp_card$/240215085253/kishi-rectangular-white-marble-dining-table-95.jpg,https://www.cb2.com/kishi-95-rectangular-white-marble-dining-table/s657442
cb2-1011,Monte Oak Wood and Rose Velvet Dining Chair,$429.00,https://cb2.scene7.com/is/image/CB2/MonteRoseVlvtDiningChairSHF24/$web_plp_card$/240922084338/MonteRoseVlvtDiningChairSHF24.jpg,https://www.cb2.com/monte-oak-wood-and-rose-velvet-dining-chair/s135002
cb2-1012,"Julius 72"" Oval Marble Dining Table","$3,499.00",https://cb2.scene7.com/is/image/CB2/JuliusMrblDiningTableSHF21/$web_plp_card$/240215084442/julius-oval-marble-dining-table.jpg,https://www.cb2.com/julius-72-oval-marble-dining-table/s627047
cb2-1013,Avont Upholstered White Performance Fabric Metal Dining Armchair,$399.00,https://cb2.scene7.com/is/image/CB2/AvontDiningChairSHS24/$web_plp_card$/240215085308/avont-upholstered-white-performance-fabric-metal-dining-armchair.jpg,https://www.cb2.com/avont-upholstered-white-performance-fabric-metal-dining-armchair/s321841
cb2-1014,Sigma Black Metal Counter Stool with Black Leather Seat Cushion,$299.00,https://cb2.scene7.com/is/image/CB2/SigmaBlkCntrStlWBlkCshnSHF24/$web_plp_card$/240922084338/SigmaBlkCntrStlWBlkCshnSHF24.jpg,https://www.cb2.com/sigma-black-metal-counter-stool-with-black-leather-seat-cushion/s683529
cb2-1015,"Tau 70"" Brown Wood and Brass Credenza","$1,999.00",https://cb2.scene7.com/is/image/CB2/TauBrnAshWdCredenza70inSHF24/$web_plp_card$/240922084338/TauBrnAshWdCredenza70inSHF24.jpg,https://www.cb2.com/tau-70-brown-wood-and-brass-credenza/s160021
cb2-1016,"Truman 93"" Acacia Color and Glass Door Credenza","$2,199.00",https://cb2.scene7.com/is/image/CB2/TrumanGlassDoorCrdnz93inSHS24/$web_plp_card$/240215085252/truman-acacia-color-and-glass-door-credenza-93.jpg,https://www.cb2.com/truman-93-acacia-color-and-glass-door-credenza/s666659
cb2-1017,"Lotto 60"" Round Acacia Wood Dining Table","Sale $1,519.20",https://cb2.scene7.com/is/image/CB2/LottoRndDiningTable60inSHS24/$web_plp_card$/240922084338/LottoRndDiningTable60inSHS24.jpg,https://www.cb2.com/lotto-60-round-acacia-wood-dining-table/s647415
cb2-1018,Arcos Oak Wood and Ivory Upholstered Dining Chair,$399.00,https://cb2.scene7.com/is/image/CB2/ArcosOakWdNIvryUphdChairSHS24/$web_plp_card$/240215085245/arcos-oak-wood-and-ivory-upholstered-chair.jpg,https://www.cb2.com/arcos-oak-wood-and-ivory-upholstered-dining-chair/s659675
cb2-1019,"Cairo 72"" Warm White High-Gloss Lacquered Credenza","$1,699.00",https://cb2.scene7.com/is/image/CB2/CairoLcqrdCredenzaSHS24/$web_plp_card$/240215085253/cairo-warm-white-high-gloss-lacquered-credenza.jpg,https://www.cb2.com/cairo-72-warm-white-high-gloss-lacquered-credenza/s659848
cb2-1020,"Roane 80"" Black Oak Media Console","$1,999.00",https://cb2.scene7.com/is/image/CB2/RoaneBlackMediaCredenzaSHF24/$web_plp_card$/240922084338/RoaneBlackMediaCredenzaSHF24.jpg,https://www.cb2.com/roane-80-black-oak-media-console/s556845
cb2-1021,Norrie Snow White Performance Fabric Dining Counter Stool,$679.00,https://cb2.scene7.com/is/image/CB2/NorrieSnwWhtDngCntrStoolSHF24/$web_plp_card$/240922084338/NorrieSnwWhtDngCntrStoolSHF24.jpg,https://www.cb2.com/norrie-snow-white-performance-fabric-dining-counter-stool/s114021
cb2-1022,"Amalie 103"" Rectangular Black Resin Dining Table","$2,999.00",https://cb2.scene7.com/is/image/CB2/AmalieBkCncrtTblLrg100inSHF24/$web_plp_card$/240922084338/AmalieBkCncrtTblLrg100inSHF24.jpg,https://www.cb2.com/amalie-103-rectangular-black-resin-dining-table/s459789
cb2-1023,"Sydney 95"" Rectangular Black Marble Dining Table with Black Steel Legs","$2,699.00",https://cb2.scene7.com/is/image/CB2/SydneyTableMrqnNBlackLgSHF23/$web_plp_card$/240215085223/sydney-rectangular-black-marble-dining-table-with-black-legs-95.5.jpg,https://www.cb2.com/sydney-95-rectangular-black-marble-dining-table-with-black-steel-legs/s475992
cb2-1024,"Sydney 95"" Rectangular Carrara Marble Dining Table with Black Steel Legs","$2,699.00",https://cb2.scene7.com/is/image/CB2/SydneyTableCrrrNBlkLgSHF23/$web_plp_card$/240215085221/sydney-rectangular-carrara-marble-dining-table-with-black-legs-95.5.jpg,https://www.cb2.com/sydney-95-rectangular-carrara-marble-dining-table-with-black-steel-legs/s475822
cb2-1025,"Melacon 105"" Rectangular White Concrete Dining Table","$2,599.00",https://cb2.scene7.com/is/image/CB2/MelaconRectDngTable105inSHS24/$web_plp_card$/240922084338/MelaconRectDngTable105inSHS24.jpg,https://www.cb2.com/melacon-105-rectangular-white-concrete-dining-table/s655713
cb2-1026,"Dunn Rectangular Black Ash Wood Dining Table 84""","$1,699.00",https://cb2.scene7.com/is/image/CB2/DunnWoodDiningTableSHF22/$web_plp_card$/240215084853/dunn-rectangular-black-ash-wood-dining-table-84.jpg,https://www.cb2.com/dunn-rectangular-black-ash-wood-dining-table-84/s109540
cb2-1027,"Wyler 72"" Rectangular Acacia Wood and Cast Metal Dining Table","Sale $1,199.20",https://cb2.scene7.com/is/image/CB2/WylerRectDngTable72inSHS24/$web_plp_card$/240922084338/WylerRectDngTable72inSHS24.jpg,https://www.cb2.com/wyler-72-rectangular-acacia-wood-and-cast-metal-dining-table/s655877
cb2-1028,"Wyler 90"" Rectangular Acacia Wood and Cast Metal Dining Table","Sale $1,359.20",https://cb2.scene7.com/is/image/CB2/WylerRectDiningTable90inSHF24/$web_plp_card$/240922084338/WylerRectDiningTable90inSHF24.jpg,https://www.cb2.com/wyler-90-rectangular-acacia-wood-and-cast-metal-dining-table/s655745
cb2-1029,"Harper 84""-104"" Rectangular Dark Acacia Wood Extendable Dining Table","$1,499.00",https://cb2.scene7.com/is/image/CB2/HarperExtnsnDiningTableSHF24/$web_plp_card$/240922084338/HarperExtnsnDiningTableSHF24.jpg,https://www.cb2.com/harper-84-104-rectangular-dark-acacia-wood-extendable-dining-table/s464534
cb2-1030,"Toron 60"" Round Mahogany Wood Dining Table","$1,799.00",https://cb2.scene7.com/is/image/CB2/ToronRndDiningTable60inSHS24/$web_plp_card$/240215085252/toron-round-mahogany-wood-dining-table-60.jpg,https://www.cb2.com/toron-60-round-mahogany-wood-dining-table/s656991
cb2-1031,"Toron 100"" Oval Mahogany Wood Dining Table","$2,299.00",https://cb2.scene7.com/is/image/CB2/ToronOvalDngTable100inSHS24/$web_plp_card$/240215085253/toron-oval-mahogany-wood-dining-table-100.jpg,https://www.cb2.com/toron-100-oval-mahogany-wood-dining-table/s657065
cb2-1032,"Kishi 95"" Rectangular Black Marble Dining Table","$2,999.00",https://cb2.scene7.com/is/image/CB2/KishiRectBkMrbDngTbl95inSHS24/$web_plp_card$/240215085245/kishi-rectangular-black-marble-dining-table-95.jpg,https://www.cb2.com/kishi-95-rectangular-black-marble-dining-table/s657645
cb2-1033,"Aster 96"" Oval Black Marble and Aluminum Dining Table","$3,899.00",https://cb2.scene7.com/is/image/CB2/AsterMrblNAlmnDnngTableSHS24/$web_plp_card$/240215085309/aster-black-marble-and-aluminum-dining-table.jpg,https://www.cb2.com/aster-96-oval-black-marble-and-aluminum-dining-table/s618085
cb2-1034,"Lola 45"" Round Ivory Concrete Dining Table",$999.00,https://cb2.scene7.com/is/image/CB2/LolaDiningTableSHS24/$web_plp_card$/240215085308/lola-round-concrete-dining-table.jpg,https://www.cb2.com/lola-45-round-ivory-concrete-dining-table/s588333
cb2-1035,"Kishi 75"" Rectangular Black Marble Dining Table","$2,499.00",https://cb2.scene7.com/is/image/CB2/KishiRectBkMrbDngTbl75inSHS24/$web_plp_card$/240215085300/kishi-rectangular-black-marble-dining-table-75.jpg,https://www.cb2.com/kishi-75-rectangular-black-marble-dining-table/s657633
cb2-1036,"Aqua Virgo 72"" Rectangular White Dining Table",$799.00,https://cb2.scene7.com/is/image/CB2/AquaVirgoDiningTableSHS24/$web_plp_card$/240215085308/aqua-virgo-dining-table.jpg,https://www.cb2.com/aqua-virgo-72-rectangular-white-dining-table/s443230
cb2-1037,"Kota 47"" Round Marble Dining Table","$2,499.00",https://cb2.scene7.com/is/image/CB2/KotaMarbleTableSHS24/$web_plp_card$/240215085308/kota-round-marble-dining-table.jpg,https://www.cb2.com/kota-47-round-marble-dining-table/s580812
cb2-1038,"Blox 63"" Rectangular Brown Wood Dining Table",$549.00,https://cb2.scene7.com/is/image/CB2/BloxDiningTableSHS24/$web_plp_card$/240215085250/blox-35x63-dining-table.jpg,https://www.cb2.com/blox-63-rectangular-brown-wood-dining-table/s123863
cb2-1039,"Sylvie 60"" Round Black Wood Dining Table","Sale $1,869.15",https://cb2.scene7.com/is/image/CB2/SylvieBlkWdDnngTableSHS24/$web_plp_card$/240215085309/sylvie-round-black-wood-dining-table.jpg,https://www.cb2.com/sylvie-60-round-black-wood-dining-table/s456137
cb2-1040,"Sydney 95"" Rectangular Travertine Dining Table with Walnut Legs","$3,599.00",https://cb2.scene7.com/is/image/CB2/SydneyTableTrvrtnNWlntLgSHF23/$web_plp_card$/240215085223/sydney-rectangular-travetine-dining-table-with-walnut-legs-95.5.jpg,https://www.cb2.com/sydney-95-rectangular-travertine-dining-table-with-walnut-legs/s475749
cb2-1041,"Stone 95"" Rectangular White Concrete Dining Table with Glass Top","$1,999.00",https://cb2.scene7.com/is/image/CB2/StoneRctWtCnctDngTbWGlsTpSHS24/$web_plp_card$/240215085323/stone-rectangular-white-concrete-dining-table-glass-top.jpg,https://www.cb2.com/stone-95-rectangular-white-concrete-dining-table-with-glass-top/s389131
cb2-1042,"Bormio 78"" Rectangular Walnut Wood Dining Table by Gianfranco Frattini","$1,499.00",https://cb2.scene7.com/is/image/CB2/BormioDiningTableWalnutSHF23/$web_plp_card$/240215085103/bormio-walnut-wood-dining-table.jpg,https://www.cb2.com/bormio-78-rectangular-walnut-wood-dining-table-by-gianfranco-frattini/s487331
